com.samsung.shealth.best_records,6100041,1
date,create_time,device_type,type,deviceuuid,pkg_name,update_time,datauuid,controller_id,source_pkg_name,extra_type,source_id,value
1547337600000,2019-01-14 07:00:01.513,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-01-14 07:00:01.513,c6e9e9d2-a43c-4bf4-9074-9f7173bc787e,tracker.pedometer,,-1,,6657.0,
1564099200000,2019-07-27 07:31:13.788,-1,6,eL5K8TBQJK,com.sec.android.app.shealth,2019-07-27 07:31:13.788,d385439e-92a9-4453-a2f5-0f13d460a097,tracker.floor,,-1,,39.0,
1547683200000,2019-01-18 07:00:02.105,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-01-18 07:00:02.105,a05d17cc-e92a-470e-96b3-708ba9d81747,tracker.pedometer,,-1,,8635.0,
1576866667673,2019-12-21 02:08:24.450,-1,3,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.838,940f9fbc-2b8c-49df-8712-bfceb2852882,tracker.sport_running,,-1,daf3cfc2-5d1a-3f6e-7810-1c41a56383a4,3516.699,
1547078400000,2019-01-11 07:00:00.509,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-01-11 07:00:00.509,761f879b-1b3e-4ff9-917f-4e472a7dcbf7,tracker.pedometer,,-1,,4402.0,
1576610813764,2019-12-18 02:57:23.000,-1,4,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.823,85d4d2ff-7f0c-4597-a55d-b675e57ea2ac,tracker.sport_running,,-1,a86d9681-973d-34ea-8ba9-213e75a95b8c,4.122,
1554249600000,2019-04-04 07:00:02.593,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-04-04 07:00:02.593,80d33301-c94c-45d6-bc23-250ad152c45f,tracker.pedometer,,-1,,21182.0,
1576610813764,2019-12-18 02:57:23.224,-1,3,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.823,74c12248-d2eb-47dd-bc01-0ed65ac898c9,tracker.sport_running,,-1,a86d9681-973d-34ea-8ba9-213e75a95b8c,3139.005,
1584230400000,2020-03-16 06:08:31.176,-100003,0,jpgso+yMpj,com.sec.android.app.shealth,2020-03-16 06:08:31.176,fd80e6c8-25e0-48b1-9b51-fc10ab88ec36,tracker.pedometer,,-1,,30720.0,
1565481600000,2019-08-12 05:00:01.692,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-08-12 05:00:01.692,6d58f06b-d87c-4bd7-a9ce-51d8356ecf00,tracker.pedometer,,-1,,25274.0,
1576866667673,2019-12-21 02:08:24.296,-1,4,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.838,ccf5fa34-2673-49c6-8418-b0abf493d4e2,tracker.sport_running,,-1,daf3cfc2-5d1a-3f6e-7810-1c41a56383a4,5.154,
1553040000000,2019-03-21 07:00:01.744,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-03-21 07:00:01.744,e17b9b18-47a4-4729-b5c9-3f8d9b1ec6d7,tracker.pedometer,,-1,,11129.0,
1563926400000,2019-07-24 21:45:22.082,-1,6,eL5K8TBQJK,com.sec.android.app.shealth,2019-07-24 21:45:22.082,640df3c7-236d-46bc-9b96-6c786959cdcf,tracker.floor,,-1,,7.0,
1576610813764,2019-12-18 02:57:23.166,-1,2,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.823,68b8f981-fc23-4b3a-8e36-190bfc13c81a,tracker.sport_running,,-1,a86d9681-973d-34ea-8ba9-213e75a95b8c,151.275,
1565308800000,2019-08-10 05:00:01.260,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-08-10 05:00:01.260,b066d00a-d0fa-4191-a402-306aa9f86ca7,tracker.pedometer,,-1,,22343.0,
1582231831490,2020-02-21 03:16:25.743,-1,1,jpgso+yMpj,com.sec.android.app.shealth,2020-05-31 14:03:37.844,1d54a833-3657-43aa-849b-73d4a873c4c9,tracker.sport_running,,-1,f6ae1997-671b-850d-63d7-90d76474c84e,1309999.0,
1576610813764,2019-12-18 02:57:23.074,-1,1,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.823,d9c6e41f-390e-4b8b-9975-7de9911a391a,tracker.sport_running,,-1,a86d9681-973d-34ea-8ba9-213e75a95b8c,1208110.0,
1563580800000,2019-07-21 17:31:43.390,-1,6,eL5K8TBQJK,com.sec.android.app.shealth,2019-07-21 17:31:43.390,1af50421-ddea-4188-87fc-3e71b3e00fc8,tracker.floor,,-1,,5.0,
1550275200000,2019-02-17 07:00:01.466,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-02-17 07:00:01.466,24aaf1f1-a35f-4154-a6b3-b366762416f8,tracker.pedometer,,-1,,10984.0,
1576866667673,2019-12-21 02:08:24.427,-1,2,eL5K8TBQJK,com.sec.android.app.shealth,2020-05-31 14:03:37.838,898d6d59-52d9-468f-be68-8146a5b9d5be,tracker.sport_running,,-1,daf3cfc2-5d1a-3f6e-7810-1c41a56383a4,173.91,
1548547200000,2019-01-30 07:00:07.245,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-01-30 07:00:07.245,375e0d46-63fd-4a02-ab3d-1f63cb33be71,tracker.pedometer,,-1,,9147.0,
1548288000000,2019-01-25 07:00:01.925,-100003,0,eL5K8TBQJK,com.sec.android.app.shealth,2019-01-25 07:00:01.925,af8b0e32-34c4-416c-b477-a9b41f40de43,tracker.pedometer,,-1,,8692.0,
1563494400000,2019-07-20 08:09:23.154,-1,6,eL5K8TBQJK,com.sec.android.app.shealth,2019-07-20 08:09:23.154,cabe656c-20d4-4b22-bdb2-061077ff443e,tracker.floor,,-1,,2.0,
1582659358230,2020-03-06 10:12:04.713,-1,1,jpgso+yMpj,com.sec.android.app.shealth,2020-05-31 14:03:37.813,7b71b0b6-cf4a-47fe-856a-437cbe2abc14,tracker.sport_others,,1002,a16760a1-bca4-6d50-fa6a-ff37c0b0aa46,1448289.0,
1582231831490,2020-02-21 03:16:25.807,-1,2,jpgso+yMpj,com.sec.android.app.shealth,2020-05-31 14:03:37.844,6cf4c859-e347-42d1-b5ec-563c914a93a0,tracker.sport_running,,-1,f6ae1997-671b-850d-63d7-90d76474c84e,286.64,
