com.samsung.shealth.sleep_data,6100041,4
start_time,pkg_name,update_time,create_time,time_offset,datauuid,sleep_status,sleep_uuid,comment,json_version,deviceuuid
2019-11-02 10:11:00.000,com.sec.android.app.shealth,2019-11-02 15:03:46.274,2019-11-02 15:03:46.274,UTC-0500,7f995b82-1b72-4180-89ba-004a51052a2c,7f995b82-1b72-4180-89ba-004a51052a2c.sleep_status.json,50df6384-94f8-93fa-e07b-58822c26b0cc,,1,hytsFLPcD3,
2020-03-09 08:24:00.000,com.sec.android.app.shealth,2020-03-09 12:15:00.447,2020-03-09 12:15:00.447,UTC-0500,bdaa31a0-320a-907f-daf7-67ed285b4635,bdaa31a0-320a-907f-daf7-67ed285b4635.sleep_status.json,14ba73df-2ae9-9be4-266b-fcef5e22a3de,,1,hytsFLPcD3,
2019-12-02 08:03:00.000,com.sec.android.app.shealth,2019-12-02 14:43:48.394,2019-12-02 14:43:48.394,UTC-0500,e643408a-0c40-7173-f168-1aa4a2b31117,e643408a-0c40-7173-f168-1aa4a2b31117.sleep_status.json,d599fff0-cd67-8905-cc28-563624dfe92d,,1,hytsFLPcD3,
2020-05-27 09:04:00.000,com.sec.android.app.shealth,2020-05-27 15:15:10.504,2020-05-27 15:15:10.504,UTC-0500,5a2f35b9-e998-39a7-7bb3-19fa9b819557,5a2f35b9-e998-39a7-7bb3-19fa9b819557.sleep_status.json,908496c4-f9f5-6654-df1d-8c320135c731,,1,hytsFLPcD3,
2020-01-05 07:00:00.000,com.sec.android.app.shealth,2020-01-05 17:04:33.324,2020-01-05 17:04:33.324,UTC-0600,fc8a98d5-738b-1f1b-f813-9b6d7eb6f11b,fc8a98d5-738b-1f1b-f813-9b6d7eb6f11b.sleep_status.json,c1f00a63-216e-a5b0-c884-d3d5855ae242,,1,hytsFLPcD3,
2020-06-06 10:34:00.000,com.sec.android.app.shealth,2020-06-06 18:22:58.880,2020-06-06 18:22:58.880,UTC-0500,7c8a563f-05e8-e2c7-a97e-989935be2d4a,7c8a563f-05e8-e2c7-a97e-989935be2d4a.sleep_status.json,1269df23-cb0d-7586-914f-9f27b9832b58,,1,hytsFLPcD3,
2019-11-07 21:15:00.000,com.sec.android.app.shealth,2019-11-07 23:11:49.302,2019-11-07 23:11:49.302,UTC-0500,48059824-0470-5d7d-ac9c-672679fbe141,48059824-0470-5d7d-ac9c-672679fbe141.sleep_status.json,ffcc1344-d2e6-a110-03cb-ba475c217cb5,,1,hytsFLPcD3,
2020-06-14 06:13:00.000,com.sec.android.app.shealth,2020-06-14 11:08:39.448,2020-06-14 11:08:39.448,UTC-0500,9258e00d-f104-a039-3dba-8e39cbc50fbe,9258e00d-f104-a039-3dba-8e39cbc50fbe.sleep_status.json,19007573-b101-1e99-efb2-b9285d333169,,1,hytsFLPcD3,
2020-02-13 07:56:00.000,com.sec.android.app.shealth,2020-02-13 12:24:22.084,2020-02-13 12:24:22.084,UTC-0500,c369d827-139f-56d9-c95a-64f1a4b8c5d1,c369d827-139f-56d9-c95a-64f1a4b8c5d1.sleep_status.json,00227006-0c30-5fea-1920-ecdb6f037675,,1,hytsFLPcD3,
2020-03-09 06:24:00.000,com.sec.android.app.shealth,2020-03-09 08:19:32.455,2020-03-09 08:19:32.455,UTC-0500,3a749904-8eae-ad31-0333-503007374043,3a749904-8eae-ad31-0333-503007374043.sleep_status.json,d9e58827-cb95-fe13-5412-7b616d69f539,,1,hytsFLPcD3,
